qualified_third_groups,match_id,third_group
C-D-E-F-G-H-J-L,M85,G
C-D-E-F-G-H-J-L,M87,L
C-D-E-F-G-H-J-K,M74,D
C-D-E-F-G-H-J-K,M77,F
C-D-E-F-G-H-J-K,M79,C
C-D-E-F-G-H-J-K,M80,K
C-D-E-F-G-H-J-K,M81,J
C-D-E-F-G-H-J-K,M82,H
C-D-E-F-G-H-J-K,M85,G
C-D-E-F-G-H-J-K,M87,E
C-D-E-F-G-H-I-L,M74,D
C-D-E-F-G-H-I-L,M77,F
C-D-E-F-G-H-I-L,M79,C
C-D-E-F-G-H-I-L,M80,I
C-D-E-F-G-H-I-L,M81,E
C-D-E-F-G-H-I-L,M82,H
C-D-E-F-G-H-I-L,M85,G
C-D-E-F-G-H-I-L,M87,L
C-D-E-F-G-H-I-K,M74,D
C-D-E-F-G-H-I-K,M77,F
C-D-E-F-G-H-I-K,M79,C
C-D-E-F-G-H-I-K,M80,K
C-D-E-F-G-H-I-K,M81,E
C-D-E-F-G-H-I-K,M82,H
C-D-E-F-G-H-I-K,M85,G
C-D-E-F-G-H-I-K,M87,I
C-D-E-F-G-H-I-J,M74,D
C-D-E-F-G-H-I-J,M77,F
C-D-E-F-G-H-I-J,M79,C
C-D-E-F-G-H-I-J,M80,I
C-D-E-F-G-H-I-J,M81,J
C-D-E-F-G-H-I-J,M82,H
C-D-E-F-G-H-I-J,M85,G
C-D-E-F-G-H-I-J,M87,E
B-F-G-H-I-J-K-L,M74,F
B-F-G-H-I-J-K-L,M77,G
B-F-G-H-I-J-K-L,M79,H
B-F-G-H-I-J-K-L,M80,K
B-F-G-H-I-J-K-L,M81,B
B-F-G-H-I-J-K-L,M82,I
B-F-G-H-I-J-K-L,M85,J
B-F-G-H-I-J-K-L,M87,L
B-E-G-H-I-J-K-L,M74,B
B-E-G-H-I-J-K-L,M77,G
B-E-G-H-I-J-K-L,M79,E
B-E-G-H-I-J-K-L,M80,K
B-E-G-H-I-J-K-L,M81,I
B-E-G-H-I-J-K-L,M82,H
B-E-G-H-I-J-K-L,M85,J
B-E-G-H-I-J-K-L,M87,L
B-E-F-H-I-J-K-L,M74,F
B-E-F-H-I-J-K-L,M77,H
B-E-F-H-I-J-K-L,M79,E
B-E-F-H-I-J-K-L,M80,K
B-E-F-H-I-J-K-L,M81,B
B-E-F-H-I-J-K-L,M82,I
B-E-F-H-I-J-K-L,M85,J
B-E-F-H-I-J-K-L,M87,L
B-E-F-G-I-J-K-L,M74,F
B-E-F-G-I-J-K-L,M77,G
B-E-F-G-I-J-K-L,M79,E
B-E-F-G-I-J-K-L,M80,K
B-E-F-G-I-J-K-L,M81,B
B-E-F-G-I-J-K-L,M82,I
B-E-F-G-I-J-K-L,M85,J
B-E-F-G-I-J-K-L,M87,L
B-E-F-G-H-J-K-L,M74,F
B-E-F-G-H-J-K-L,M77,G
B-E-F-G-H-J-K-L,M79,E
B-E-F-G-H-J-K-L,M80,K
B-E-F-G-H-J-K-L,M81,B
B-E-F-G-H-J-K-L,M82,H
B-E-F-G-H-J-K-L,M85,J
B-E-F-G-H-J-K-L,M87,L
B-E-F-G-H-I-K-L,M74,F
B-E-F-G-H-I-K-L,M77,H
B-E-F-G-H-I-K-L,M79,E
B-E-F-G-H-I-K-L,M80,K
B-E-F-G-H-I-K-L,M81,B
B-E-F-G-H-I-K-L,M82,I
B-E-F-G-H-I-K-L,M85,G
B-E-F-G-H-I-K-L,M87,L
B-E-F-G-H-I-J-L,M74,F
B-E-F-G-H-I-J-L,M77,G
B-E-F-G-H-I-J-L,M79,E
B-E-F-G-H-I-J-L,M80,I
B-E-F-G-H-I-J-L,M81,B
B-E-F-G-H-I-J-L,M82,H
B-E-F-G-H-I-J-L,M85,J
B-E-F-G-H-I-J-L,M87,L
B-E-F-G-H-I-J-K,M74,F
B-E-F-G-H-I-J-K,M77,G
B-E-F-G-H-I-J-K,M79,E
B-E-F-G-H-I-J-K,M80,K
B-E-F-G-H-I-J-K,M81,B
B-E-F-G-H-I-J-K,M82,H
B-E-F-G-H-I-J-K,M85,J
B-E-F-G-H-I-J-K,M87,I
B-D-G-H-I-J-K-L,M74,D
B-D-G-H-I-J-K-L,M77,G
B-D-G-H-I-J-K-L,M79,H
B-D-G-H-I-J-K-L,M80,K
B-D-G-H-I-J-K-L,M81,B
B-D-G-H-I-J-K-L,M82,I
B-D-G-H-I-J-K-L,M85,J
B-D-G-H-I-J-K-L,M87,L
B-D-F-H-I-J-K-L,M74,D
B-D-F-H-I-J-K-L,M77,F
B-D-F-H-I-J-K-L,M79,H
B-D-F-H-I-J-K-L,M80,K
B-D-F-H-I-J-K-L,M81,B
B-D-F-H-I-J-K-L,M82,I
B-D-F-H-I-J-K-L,M85,J
B-D-F-H-I-J-K-L,M87,L
B-D-F-G-I-J-K-L,M74,D
B-D-F-G-I-J-K-L,M77,F
B-D-F-G-I-J-K-L,M79,I
B-D-F-G-I-J-K-L,M80,K
B-D-F-G-I-J-K-L,M81,B
B-D-F-G-I-J-K-L,M82,J
B-D-F-G-I-J-K-L,M85,G
B-D-F-G-I-J-K-L,M87,L
B-D-F-G-H-J-K-L,M74,D
B-D-F-G-H-J-K-L,M77,F
B-D-F-G-H-J-K-L,M79,H
B-D-F-G-H-J-K-L,M80,K
B-D-F-G-H-J-K-L,M81,B
B-D-F-G-H-J-K-L,M82,J
B-D-F-G-H-J-K-L,M85,G
B-D-F-G-H-J-K-L,M87,L
B-D-F-G-H-I-K-L,M74,D
B-D-F-G-H-I-K-L,M77,F
B-D-F-G-H-I-K-L,M79,H
B-D-F-G-H-I-K-L,M80,K
B-D-F-G-H-I-K-L,M81,B
B-D-F-G-H-I-K-L,M82,I
B-D-F-G-H-I-K-L,M85,G
B-D-F-G-H-I-K-L,M87,L
B-D-F-G-H-I-J-L,M74,D
B-D-F-G-H-I-J-L,M77,F
B-D-F-G-H-I-J-L,M79,H
B-D-F-G-H-I-J-L,M80,I
B-D-F-G-H-I-J-L,M81,B
B-D-F-G-H-I-J-L,M82,J
B-D-F-G-H-I-J-L,M85,G
B-D-F-G-H-I-J-L,M87,L
B-D-F-G-H-I-J-K,M74,D
B-D-F-G-H-I-J-K,M77,F
B-D-F-G-H-I-J-K,M79,H
B-D-F-G-H-I-J-K,M80,K
B-D-F-G-H-I-J-K,M81,B
B-D-F-G-H-I-J-K,M82,J
B-D-F-G-H-I-J-K,M85,G
B-D-F-G-H-I-J-K,M87,I
B-D-E-H-I-J-K-L,M74,D
B-D-E-H-I-J-K-L,M77,H
B-D-E-H-I-J-K-L,M79,E
B-D-E-H-I-J-K-L,M80,K
B-D-E-H-I-J-K-L,M81,B
B-D-E-H-I-J-K-L,M82,I
B-D-E-H-I-J-K-L,M85,J
B-D-E-H-I-J-K-L,M87,L
B-D-E-G-I-J-K-L,M74,D
B-D-E-G-I-J-K-L,M77,G
B-D-E-G-I-J-K-L,M79,E
B-D-E-G-I-J-K-L,M80,K
B-D-E-G-I-J-K-L,M81,B
B-D-E-G-I-J-K-L,M82,I
B-D-E-G-I-J-K-L,M85,J
B-D-E-G-I-J-K-L,M87,L
B-D-E-G-H-J-K-L,M74,D
B-D-E-G-H-J-K-L,M77,G
B-D-E-G-H-J-K-L,M79,E
B-D-E-G-H-J-K-L,M80,K
B-D-E-G-H-J-K-L,M81,B
B-D-E-G-H-J-K-L,M82,H
B-D-E-G-H-J-K-L,M85,J
B-D-E-G-H-J-K-L,M87,L
B-D-E-G-H-I-K-L,M74,D
B-D-E-G-H-I-K-L,M77,H
B-D-E-G-H-I-K-L,M79,E
B-D-E-G-H-I-K-L,M80,K
B-D-E-G-H-I-K-L,M81,B
B-D-E-G-H-I-K-L,M82,I
B-D-E-G-H-I-K-L,M85,G
B-D-E-G-H-I-K-L,M87,L
B-D-E-G-H-I-J-L,M74,D
B-D-E-G-H-I-J-L,M77,G
B-D-E-G-H-I-J-L,M79,E
B-D-E-G-H-I-J-L,M80,I
B-D-E-G-H-I-J-L,M81,B
B-D-E-G-H-I-J-L,M82,H
B-D-E-G-H-I-J-L,M85,J
B-D-E-G-H-I-J-L,M87,L
B-D-E-G-H-I-J-K,M74,D
B-D-E-G-H-I-J-K,M77,G
B-D-E-G-H-I-J-K,M79,E
B-D-E-G-H-I-J-K,M80,K
B-D-E-G-H-I-J-K,M81,B
B-D-E-G-H-I-J-K,M82,H
B-D-E-G-H-I-J-K,M85,J
B-D-E-G-H-I-J-K,M87,I
B-D-E-F-I-J-K-L,M74,D
B-D-E-F-I-J-K-L,M77,F
B-D-E-F-I-J-K-L,M79,E
B-D-E-F-I-J-K-L,M80,K
B-D-E-F-I-J-K-L,M81,B
B-D-E-F-I-J-K-L,M82,I
B-D-E-F-I-J-K-L,M85,J
B-D-E-F-I-J-K-L,M87,L
B-D-E-F-H-J-K-L,M74,D
B-D-E-F-H-J-K-L,M77,F
B-D-E-F-H-J-K-L,M79,E
B-D-E-F-H-J-K-L,M80,K
B-D-E-F-H-J-K-L,M81,B
B-D-E-F-H-J-K-L,M82,H
B-D-E-F-H-J-K-L,M85,J
B-D-E-F-H-J-K-L,M87,L
B-D-E-F-H-I-K-L,M74,D
B-D-E-F-H-I-K-L,M77,F
B-D-E-F-H-I-K-L,M79,E
B-D-E-F-H-I-K-L,M80,K
B-D-E-F-H-I-K-L,M81,B
B-D-E-F-H-I-K-L,M82,H
B-D-E-F-H-I-K-L,M85,I
B-D-E-F-H-I-K-L,M87,L
B-D-E-F-H-I-J-L,M74,D
B-D-E-F-H-I-J-L,M77,F
B-D-E-F-H-I-J-L,M79,E
B-D-E-F-H-I-J-L,M80,I
B-D-E-F-H-I-J-L,M81,B
B-D-E-F-H-I-J-L,M82,H
B-D-E-F-H-I-J-L,M85,J
B-D-E-F-H-I-J-L,M87,L
B-D-E-F-H-I-J-K,M74,D
B-D-E-F-H-I-J-K,M77,F
B-D-E-F-H-I-J-K,M79,E
B-D-E-F-H-I-J-K,M80,K
B-D-E-F-H-I-J-K,M81,B
B-D-E-F-H-I-J-K,M82,H
B-D-E-F-H-I-J-K,M85,J
B-D-E-F-H-I-J-K,M87,I
B-D-E-F-G-J-K-L,M74,D
B-D-E-F-G-J-K-L,M77,F
B-D-E-F-G-J-K-L,M79,E
B-D-E-F-G-J-K-L,M80,K
B-D-E-F-G-J-K-L,M81,B
B-D-E-F-G-J-K-L,M82,J
B-D-E-F-G-J-K-L,M85,G
B-D-E-F-G-J-K-L,M87,L
B-D-E-F-G-I-K-L,M74,D
B-D-E-F-G-I-K-L,M77,F
B-D-E-F-G-I-K-L,M79,E
B-D-E-F-G-I-K-L,M80,K
B-D-E-F-G-I-K-L,M81,B
B-D-E-F-G-I-K-L,M82,I
B-D-E-F-G-I-K-L,M85,G
